Date_time;Water_value
06.08.2020 22:00;35
07.08.2020 22:00;35
08.08.2020 22:00;35
09.08.2020 22:00;35
10.08.2020 22:00;35
11.08.2020 22:00;62
12.08.2020 22:00;62
13.08.2020 22:00;62
14.08.2020 22:00;62
15.08.2020 22:00;62
16.08.2020 22:00;62
17.08.2020 22:00;111
18.08.2020 22:00;111
19.08.2020 22:00;111
20.08.2020 22:00;111
21.08.2020 22:00;111
22.08.2020 22:00;111
23.08.2020 22:00;100
24.08.2020 22:00;100
25.08.2020 22:00;100
26.08.2020 22:00;110
27.08.2020 22:00;110
28.08.2020 22:00;110
29.08.2020 22:00;110
30.08.2020 22:00;192
31.08.2020 22:00;180
01.09.2020 22:00;180
02.09.2020 22:00;180
03.09.2020 22:00;190
04.09.2020 22:00;190
05.09.2020 22:00;190
06.09.2020 22:00;190
07.09.2020 22:00;190
08.09.2020 22:00;190
09.09.2020 22:00;190
10.09.2020 22:00;190
11.09.2020 22:00;190
12.09.2020 22:00;190
13.09.2020 22:00;190
14.09.2020 22:00;252
15.09.2020 22:00;225
16.09.2020 22:00;225
17.09.2020 22:00;61
18.09.2020 22:00;61
19.09.2020 22:00;61
20.09.2020 22:00;61
21.09.2020 22:00;61
22.09.2020 22:00;20
23.09.2020 22:00;20
24.09.2020 22:00;30
25.09.2020 22:00;30
26.09.2020 22:00;30
27.09.2020 22:00;30
28.09.2020 22:00;54
29.09.2020 22:00;54
30.09.2020 22:00;54
01.10.2020 22:00;54
02.10.2020 22:00;54
03.10.2020 22:00;54
04.10.2020 22:00;54
05.10.2020 22:00;100
06.10.2020 22:00;100
07.10.2020 22:00;150
08.10.2020 22:00;150
09.10.2020 22:00;206
10.10.2020 22:00;206
11.10.2020 22:00;241
12.10.2020 22:00;266
13.10.2020 22:00;266
14.10.2020 22:00;266
15.10.2020 22:00;266
16.10.2020 22:00;266
17.10.2020 22:00;266
18.10.2020 22:00;266
19.10.2020 22:00;228
20.10.2020 22:00;228
22.10.2020 22:00;228
23.10.2020 22:00;228
24.10.2020 22:00;228
25.10.2020 23:00;228
26.10.2020 23:00;228
27.10.2020 23:00;228
28.10.2020 23:00;212
29.10.2020 23:00;212
30.10.2020 23:00;212
31.10.2020 23:00;212
01.11.2020 23:00;51
02.11.2020 23:00;71
03.11.2020 23:00;71
04.11.2020 23:00;71
05.11.2020 23:00;71
06.11.2020 23:00;71
07.11.2020 23:00;71
08.11.2020 23:00;52
09.11.2020 23:00;50
10.11.2020 23:00;50
11.11.2020 23:00;50
12.11.2020 23:00;50
13.11.2020 23:00;50
14.11.2020 23:00;50
15.11.2020 23:00;50
16.11.2020 23:00;50
17.11.2020 23:00;50
18.11.2020 23:00;50
19.11.2020 23:00;50
20.11.2020 23:00;50
21.11.2020 23:00;50
22.11.2020 23:00;50
23.11.2020 23:00;50
24.11.2020 23:00;50
25.11.2020 23:00;75
26.11.2020 23:00;110
27.11.2020 23:00;110
28.11.2020 23:00;110
29.11.2020 23:00;180
30.11.2020 23:00;180
01.12.2020 23:00;175
02.12.2020 23:00;175
03.12.2020 23:00;175
